tax_id	nextclade_dataset
2697049	sars-cov-2
641809	flu_h1n1pdm_ha
211044	nextstrain/flu/h1n1/ha
335341	flu_h3n2_ha
119210	flu_h3n2_ha
102793	community/moncla-lab/iav-h5/ha/all-clades
518987	flu_vic_ha
1089607	flu_yam_ha
11520	flu_b_ha
208893	rsv_a
208895	rsv_b
3048148	hmpv
619591	nextstrain/mpox/clade-i
10244	MPXV
1980456	nextstrain/orthohantavirus/andv/s
3052429	community/itps/orov/S/refseq
3052518	community/pathoplexus/cchfv/S
3052505	community/genspectrum/marburg/HK1980/all-lineages
3052458	nextstrain/orthoebolavirus/bdbv
3052462	nextstrain/orthoebolavirus/ebov
3052460	nextstrain/orthoebolavirus/sudv
11053	community/v-gen-lab/dengue/denv1
11060	community/v-gen-lab/dengue/denv2
11069	community/v-gen-lab/dengue/denv3
11070	community/v-gen-lab/dengue/denv4
12637	nextstrain/dengue/all
3048448	nextstrain/wnv/all-lineages
11089	community/pathoplexus/yellow-fever-virus
3048459	community/itps/zikav
3426298	community/v-gen-lab/chikV/genotypes
3052560	nextstrain/mumps/genome
11234	nextstrain/measles/genome/WHO-2012
11041	nextstrain/rubella/genome
3050294	nextstrain/herpes/vzv/NC_001348
42789	enpen/enterovirus/ev-d68
39054	enpen/enterovirus/ev-a71
31704	enpen/enterovirus/cva16
208726	community/masphl-bioinformatics/hav/whole-genome
11676	community/neherlab/hiv-1/hxb2
